Location,Parameter,Unit,Frequency,Date,Value
5,Oil,mg/L,1 / 3 MO.,2018-05-31,1.4
5,TDS,mg/L,1 / 3 MO.,2018-05-31,60
5,Cu,ug/L,1 / 3 MO.,2018-05-31,0.5
5,CaCO3,mg/L,1 / 3 MO.,2018-05-31,56
5,Ag,ug/L,1 / 3 MO.,2018-05-31,14.6
5,P,mg/L,1 / 3 MO.,2018-05-31,0.22
5,BOD,mg/L,1 / 3 MO.,2018-05-31,10
5,Pb,ug/L,1 / 3 MO.,2018-05-31,20.3
5,Streptococci,#/100mL,1 / 3 MO.,2018-05-31,82
5,pH,SU,1 / 3 MO.,2018-05-31,7.1
5,TSS,mg/L,1 / 3 MO.,2018-05-31,43
5,Zn,ug/L,1 / 3 MO.,2018-05-31,1
5,Flow,MGD,1 / 3 MO.,2018-05-31,0.003734
5,E.Coli,#/100mL,1 / 3 MO.,2018-05-31,94.2
5,Cd,ug/L,1 / 3 MO.,2018-05-31,3
6,E.Coli,#/100mL,1 / 3 MO.,2018-08-31,266.9
6,Oil,mg/L,1 / 3 MO.,2018-08-31,2.1
6,Cu,ug/L,1 / 3 MO.,2018-08-31,5.96
6,Zn,ug/L,1 / 3 MO.,2018-08-31,1
6,Pb,ug/L,1 / 3 MO.,2018-08-31,12.46
6,N,mg/L,1 / 3 MO.,2018-08-31,0.37
6,pH,SU,1 / 3 MO.,2018-08-31,7.7
6,Cd,ug/L,1 / 3 MO.,2018-08-31,6.43
6,Streptococci,#/100mL,1 / 3 MO.,2018-08-31,239
6,P,mg/L,1 / 3 MO.,2018-08-31,0.22
6,BOD,mg/L,1 / 3 MO.,2018-08-31,2.9
6,CaCO3,mg/L,1 / 3 MO.,2018-08-31,20
6,TSS,mg/L,1 / 3 MO.,2018-08-31,6
6,Ag,ug/L,1 / 3 MO.,2018-08-31,19.6
6,TDS,mg/L,1 / 3 MO.,2018-08-31,156
6,Flow,MGD,1 / 3 MO.,2018-08-31,0.006384
3,P,mg/L,1 / 3 MO.,2018-08-31,0.18
3,TSS,mg/L,1 / 3 MO.,2018-08-31,1
3,Ag,ug/L,1 / 3 MO.,2018-08-31,6
3,N,mg/L,1 / 3 MO.,2018-08-31,1.56
3,Zn,ug/L,1 / 3 MO.,2018-08-31,61
3,CaCO3,mg/L,1 / 3 MO.,2018-08-31,24
3,E.Coli,#/100mL,1 / 3 MO.,2018-08-31,2419.6
3,BOD,mg/L,1 / 3 MO.,2018-08-31,23.5
3,Cd,ug/L,1 / 3 MO.,2018-08-31,0.1
3,Cu,ug/L,1 / 3 MO.,2018-08-31,8
3,pH,SU,1 / 3 MO.,2018-08-31,7.6
3,Streptococci,#/100mL,1 / 3 MO.,2018-08-31,520
3,Oil,mg/L,1 / 3 MO.,2018-08-31,1.4
3,Flow,MGD,1 / 3 MO.,2018-08-31,0.0036
3,TDS,mg/L,1 / 3 MO.,2018-08-31,48
3,Pb,ug/L,1 / 3 MO.,2018-08-31,5
1,Oil,mg/L,1 / 3 MO.,2018-08-31,1.4
1,P,mg/L,1 / 3 MO.,2018-08-31,0.2
1,Ag,ug/L,1 / 3 MO.,2018-08-31,7
1,E.Coli,#/100mL,1 / 3 MO.,2018-08-31,2419.6
1,BOD,mg/L,1 / 3 MO.,2018-08-31,19.7
1,Cu,ug/L,1 / 3 MO.,2018-08-31,28
1,Streptococci,#/100mL,1 / 3 MO.,2018-08-31,600
1,TSS,mg/L,1 / 3 MO.,2018-08-31,37
1,pH,SU,1 / 3 MO.,2018-08-31,7.3
1,Zn,ug/L,1 / 3 MO.,2018-08-31,178
1,TDS,mg/L,1 / 3 MO.,2018-08-31,98
1,N,mg/L,1 / 3 MO.,2018-08-31,1.8
1,CaCO3,mg/L,1 / 3 MO.,2018-08-31,32
1,Pb,ug/L,1 / 3 MO.,2018-08-31,12
1,Flow,MGD,1 / 3 MO.,2018-08-31,0.00288
1,Cd,ug/L,1 / 3 MO.,2018-08-31,0.1
5,E.Coli,#/100mL,1 / 3 MO.,2018-08-31,2419.6
5,N,mg/L,1 / 3 MO.,2018-08-31,0.67
5,Oil,mg/L,1 / 3 MO.,2018-08-31,1.5
5,BOD,mg/L,1 / 3 MO.,2018-08-31,5.9
5,Pb,ug/L,1 / 3 MO.,2018-08-31,3.54
5,Ag,ug/L,1 / 3 MO.,2018-08-31,1
5,P,mg/L,1 / 3 MO.,2018-08-31,0.27
5,Cu,ug/L,1 / 3 MO.,2018-08-31,10.78
5,CaCO3,mg/L,1 / 3 MO.,2018-08-31,60
5,pH,SU,1 / 3 MO.,2018-08-31,6.1
5,Cd,ug/L,1 / 3 MO.,2018-08-31,0.1
5,Zn,ug/L,1 / 3 MO.,2018-08-31,146.79
5,Flow,MGD,1 / 3 MO.,2018-08-31,0.002676
5,Streptococci,#/100mL,1 / 3 MO.,2018-08-31,2222
5,TDS,mg/L,1 / 3 MO.,2018-08-31,1034
5,TSS,mg/L,1 / 3 MO.,2018-08-31,6
2,Streptococci,#/100mL,1 / 3 MO.,2018-08-31,720
2,CaCO3,mg/L,1 / 3 MO.,2018-08-31,34
2,Oil,mg/L,1 / 3 MO.,2018-08-31,1.4
2,Cu,ug/L,1 / 3 MO.,2018-08-31,4
2,Pb,ug/L,1 / 3 MO.,2018-08-31,8
2,Cd,ug/L,1 / 3 MO.,2018-08-31,2
2,Ag,ug/L,1 / 3 MO.,2018-08-31,9
2,N,mg/L,1 / 3 MO.,2018-08-31,0.8
2,Zn,ug/L,1 / 3 MO.,2018-08-31,1
2,TSS,mg/L,1 / 3 MO.,2018-08-31,20
2,Flow,MGD,1 / 3 MO.,2018-08-31,0.0072
2,P,mg/L,1 / 3 MO.,2018-08-31,0.19
2,E.Coli,#/100mL,1 / 3 MO.,2018-08-31,2419.6
2,TDS,mg/L,1 / 3 MO.,2018-08-31,54
2,pH,SU,1 / 3 MO.,2018-08-31,7
2,BOD,mg/L,1 / 3 MO.,2018-08-31,18
2,E.Coli,#/100mL,1 / 3 MO.,2018-11-30,1014
2,Cu,ug/L,1 / 3 MO.,2018-11-30,3.42
2,TDS,mg/L,1 / 3 MO.,2018-11-30,84
2,Cd,ug/L,1 / 3 MO.,2018-11-30,0.44
2,CaCO3,mg/L,1 / 3 MO.,2018-11-30,36
2,Ag,ug/L,1 / 3 MO.,2018-11-30,0.5
2,P,mg/L,1 / 3 MO.,2018-11-30,0.13
2,Oil,mg/L,1 / 3 MO.,2018-11-30,1.4
2,N,mg/L,1 / 3 MO.,2018-11-30,1
2,Flow,MGD,1 / 3 MO.,2018-11-30,4.6368
2,TSS,mg/L,1 / 3 MO.,2018-11-30,34
2,Pb,ug/L,1 / 3 MO.,2018-11-30,8.41
2,pH,SU,1 / 3 MO.,2018-11-30,6.4
2,BOD,mg/L,1 / 3 MO.,2018-11-30,5.2
2,Zn,ug/L,1 / 3 MO.,2018-11-30,1
2,Streptococci,#/100mL,1 / 3 MO.,2018-11-30,919
1,pH,SU,1 / 3 MO.,2018-11-30,6.4
1,Pb,ug/L,1 / 3 MO.,2018-11-30,7.93
1,N,mg/L,1 / 3 MO.,2018-11-30,1.06
1,Flow,MGD,1 / 3 MO.,2018-11-30,5.16672
1,CaCO3,mg/L,1 / 3 MO.,2018-11-30,32
1,Zn,ug/L,1 / 3 MO.,2018-11-30,64.26
1,Ag,ug/L,1 / 3 MO.,2018-11-30,0.5
1,P,mg/L,1 / 3 MO.,2018-11-30,0.16
1,Cu,ug/L,1 / 3 MO.,2018-11-30,4.75
1,TDS,mg/L,1 / 3 MO.,2018-11-30,128
1,TSS,mg/L,1 / 3 MO.,2018-11-30,12
1,E.Coli,#/100mL,1 / 3 MO.,2018-11-30,2410
1,BOD,mg/L,1 / 3 MO.,2018-11-30,3.6
1,Oil,mg/L,1 / 3 MO.,2018-11-30,1.5
1,Cd,ug/L,1 / 3 MO.,2018-11-30,1.63
1,Streptococci,#/100mL,1 / 3 MO.,2018-11-30,2019
6,TDS,mg/L,1 / 3 MO.,2018-11-30,104
6,Pb,ug/L,1 / 3 MO.,2018-11-30,7.82
6,pH,SU,1 / 3 MO.,2018-11-30,6.6
6,N,mg/L,1 / 3 MO.,2018-11-30,0.45
6,Cu,ug/L,1 / 3 MO.,2018-11-30,5.18
6,BOD,mg/L,1 / 3 MO.,2018-11-30,4.64
6,Oil,mg/L,1 / 3 MO.,2018-11-30,1.4
6,E.Coli,#/100mL,1 / 3 MO.,2018-11-30,727
6,TSS,mg/L,1 / 3 MO.,2018-11-30,10
6,Flow,MGD,1 / 3 MO.,2018-11-30,1.73808
6,Ag,ug/L,1 / 3 MO.,2018-11-30,0.5
6,Cd,ug/L,1 / 3 MO.,2018-11-30,1.8
6,P,mg/L,1 / 3 MO.,2018-11-30,0.07
6,Streptococci,#/100mL,1 / 3 MO.,2018-11-30,620
6,Zn,ug/L,1 / 3 MO.,2018-11-30,13.29
6,CaCO3,mg/L,1 / 3 MO.,2018-11-30,20
5,Oil,mg/L,1 / 3 MO.,2018-11-30,1.4
5,Cd,ug/L,1 / 3 MO.,2018-11-30,0.45
5,Streptococci,#/100mL,1 / 3 MO.,2018-11-30,1416
5,TSS,mg/L,1 / 3 MO.,2018-11-30,37
5,Ag,ug/L,1 / 3 MO.,2018-11-30,0.5
5,BOD,mg/L,1 / 3 MO.,2018-11-30,3.5
5,pH,SU,1 / 3 MO.,2018-11-30,6.3
5,CaCO3,mg/L,1 / 3 MO.,2018-11-30,24
5,TDS,mg/L,1 / 3 MO.,2018-11-30,64
5,Flow,MGD,1 / 3 MO.,2018-11-30,3.13776
5,P,mg/L,1 / 3 MO.,2018-11-30,0.31
5,Pb,ug/L,1 / 3 MO.,2018-11-30,9.59
5,N,mg/L,1 / 3 MO.,2018-11-30,0.71
5,Zn,ug/L,1 / 3 MO.,2018-11-30,36.53
5,Cu,ug/L,1 / 3 MO.,2018-11-30,3.65
5,E.Coli,#/100mL,1 / 3 MO.,2018-11-30,1553
3,Ag,ug/L,1 / 3 MO.,2018-11-30,0.6
3,Flow,MGD,1 / 3 MO.,2018-11-30,0.0864
3,E.Coli,#/100mL,1 / 3 MO.,2018-11-30,1553
3,CaCO3,mg/L,1 / 3 MO.,2018-11-30,20
3,P,mg/L,1 / 3 MO.,2018-11-30,0.12
3,Cu,ug/L,1 / 3 MO.,2018-11-30,8.47
3,Streptococci,#/100mL,1 / 3 MO.,2018-11-30,1419
3,TDS,mg/L,1 / 3 MO.,2018-11-30,252
3,N,mg/L,1 / 3 MO.,2018-11-30,0.66
3,Oil,mg/L,1 / 3 MO.,2018-11-30,4.3
3,pH,SU,1 / 3 MO.,2018-11-30,7
3,Pb,ug/L,1 / 3 MO.,2018-11-30,8.82
3,Zn,ug/L,1 / 3 MO.,2018-11-30,1
3,BOD,mg/L,1 / 3 MO.,2018-11-30,3.9
3,Cd,ug/L,1 / 3 MO.,2018-11-30,4.01
3,TSS,mg/L,1 / 3 MO.,2018-11-30,52
3,BOD,mg/L,1 / 3 MO.,2019-02-28,3.7
3,Ag,ug/L,1 / 3 MO.,2019-02-28,1
3,E.Coli,#/100mL,1 / 3 MO.,2019-02-28,352
3,TSS,mg/L,1 / 3 MO.,2019-02-28,10.8
3,CaCO3,mg/L,1 / 3 MO.,2019-02-28,20
3,Pb,ug/L,1 / 3 MO.,2019-02-28,10
3,pH,SU,1 / 3 MO.,2019-02-28,7.2
3,P,mg/L,1 / 3 MO.,2019-02-28,0.09
3,N,mg/L,1 / 3 MO.,2019-02-28,1.08
3,Flow,MGD,1 / 3 MO.,2019-02-28,0.00152
3,Cd,ug/L,1 / 3 MO.,2019-02-28,4
3,Streptococci,#/100mL,1 / 3 MO.,2019-02-28,372
3,Cu,ug/L,1 / 3 MO.,2019-02-28,3
3,TDS,mg/L,1 / 3 MO.,2019-02-28,84
3,Zn,ug/L,1 / 3 MO.,2019-02-28,4
3,Oil,mg/L,1 / 3 MO.,2019-02-28,1.4
1,Ag,ug/L,1 / 3 MO.,2019-02-28,1
1,TSS,mg/L,1 / 3 MO.,2019-02-28,82.8
1,Zn,ug/L,1 / 3 MO.,2019-02-28,55.86
1,pH,SU,1 / 3 MO.,2019-02-28,7.5
1,Streptococci,#/100mL,1 / 3 MO.,2019-02-28,108
1,BOD,mg/L,1 / 3 MO.,2019-02-28,6.2
1,E.Coli,#/100mL,1 / 3 MO.,2019-02-28,223
1,CaCO3,mg/L,1 / 3 MO.,2019-02-28,28
1,TDS,mg/L,1 / 3 MO.,2019-02-28,164
1,Flow,MGD,1 / 3 MO.,2019-02-28,0.58608
1,N,mg/L,1 / 3 MO.,2019-02-28,1
1,Cd,ug/L,1 / 3 MO.,2019-02-28,4
1,Cu,ug/L,1 / 3 MO.,2019-02-28,3
1,Oil,mg/L,1 / 3 MO.,2019-02-28,1.4
1,Pb,ug/L,1 / 3 MO.,2019-02-28,10
1,P,mg/L,1 / 3 MO.,2019-02-28,0.16
6,Flow,MGD,1 / 3 MO.,2019-02-28,0.0216
6,pH,SU,1 / 3 MO.,2019-02-28,7.2
6,TDS,mg/L,1 / 3 MO.,2019-02-28,164
6,N,mg/L,1 / 3 MO.,2019-02-28,0.3
6,BOD,mg/L,1 / 3 MO.,2019-02-28,3.6
6,E.Coli,#/100mL,1 / 3 MO.,2019-02-28,269
6,CaCO3,mg/L,1 / 3 MO.,2019-02-28,16
6,Cu,ug/L,1 / 3 MO.,2019-02-28,3
6,Cd,ug/L,1 / 3 MO.,2019-02-28,4
6,TSS,mg/L,1 / 3 MO.,2019-02-28,10.8
6,P,mg/L,1 / 3 MO.,2019-02-28,0.08
6,Zn,ug/L,1 / 3 MO.,2019-02-28,9.83
6,Streptococci,#/100mL,1 / 3 MO.,2019-02-28,108
6,Ag,ug/L,1 / 3 MO.,2019-02-28,1
6,Oil,mg/L,1 / 3 MO.,2019-02-28,1.4
6,Pb,ug/L,1 / 3 MO.,2019-02-28,10
2,E.Coli,#/100mL,1 / 3 MO.,2019-02-28,109
2,Ag,ug/L,1 / 3 MO.,2019-02-28,1
2,Cu,ug/L,1 / 3 MO.,2019-02-28,3
2,TDS,mg/L,1 / 3 MO.,2019-02-28,116
2,Cd,ug/L,1 / 3 MO.,2019-02-28,4
2,N,mg/L,1 / 3 MO.,2019-02-28,0.79
2,BOD,mg/L,1 / 3 MO.,2019-02-28,4.4
2,P,mg/L,1 / 3 MO.,2019-02-28,0.12
2,Oil,mg/L,1 / 3 MO.,2019-02-28,1.4
2,Flow,MGD,1 / 3 MO.,2019-02-28,0.04032
2,TSS,mg/L,1 / 3 MO.,2019-02-28,31
2,Zn,ug/L,1 / 3 MO.,2019-02-28,20.54
2,pH,SU,1 / 3 MO.,2019-02-28,7.4
2,Streptococci,#/100mL,1 / 3 MO.,2019-02-28,93
2,Pb,ug/L,1 / 3 MO.,2019-02-28,10
2,CaCO3,mg/L,1 / 3 MO.,2019-02-28,12
5,Streptococci,#/100mL,1 / 3 MO.,2019-02-28,113
5,Cu,ug/L,1 / 3 MO.,2019-02-28,3
5,E.Coli,#/100mL,1 / 3 MO.,2019-02-28,516
5,Pb,ug/L,1 / 3 MO.,2019-02-28,10
5,Ag,ug/L,1 / 3 MO.,2019-02-28,1
5,N,mg/L,1 / 3 MO.,2019-02-28,0.38
5,BOD,mg/L,1 / 3 MO.,2019-02-28,3.9
5,P,mg/L,1 / 3 MO.,2019-02-28,0.11
5,Zn,ug/L,1 / 3 MO.,2019-02-28,40.8
5,TDS,mg/L,1 / 3 MO.,2019-02-28,76
5,Oil,mg/L,1 / 3 MO.,2019-02-28,1.4
5,Flow,MGD,1 / 3 MO.,2019-02-28,0.0144
5,CaCO3,mg/L,1 / 3 MO.,2019-02-28,8
5,Cd,ug/L,1 / 3 MO.,2019-02-28,4
5,TSS,mg/L,1 / 3 MO.,2019-02-28,8.6
5,pH,SU,1 / 3 MO.,2019-02-28,7.5
