OUTFALL No. / LOCATION,PARAMETER,SAMPLE MEASURE UNIT,FREQUENCY / SAMPLE TYPE,,,1/1 TO 2/28/1997,,3/1 TO 5/31/1997,,6/1 TO 8/31/1997,,9/1 TO 11/30/1997,,12/1 TO 2/28/1998,,3/1 TO 5/31/1998,,6/1 TO 8/31/1998,,9/1 TO 11/30/1998,,12/1/1998 TO 2/28/1999,,3/1 TO 5/31/1999,,6/1 TO 8/31/1999,,9/1 TO 11/30/1999,,12/1/1999 TO 2/29/2000,,3/1 TO 5/31/2000,,6/1 TO 8/31/2000,,9/1 TO 11/30/2000,,12/1/2000 TO 2/29/2001,,3/1 TO 5/31/2001,,6/1 TO 8/31/2001,,9/1 TO 11/30/2001,,12/1/2001 TO 2/28/2002,,3/1 TO 5/31/2002,,6/1 TO 8/31/2002,,9/1 TO 11/30/2002,,12/1/2002 TO 2/28/2003,,3/1 TO 5/31/2003,,6/1 TO 8/31/2003,,9/1 TO 11/30/2003,,12/1/2003 TO 2/29/2004,,3/1 TO 5/31/2004,,6/1 TO 8/31/2004,,9/1 TO 11/30/2004,,12/1/2004 TO 2/28/2005,,3/1 TO 5/31/2005,,6/1 TO 8/31/2005,,9/1 TO 11/30/2005,,12/1/2005 TO 2/28/2006,,3/1 TO 5/31/2006,,6/1 TO 8/31/2006,,9/1 TO 11/30/2006,,12/1/2006 TO 2/28/2007,,3/1 TO 5/31/2007,,6/1 TO 8/31/2007,,9/1 TO 11/30/2007,,12/1/2007 TO 2/28/2008,,3/1 TO 5/31/2008,,6/1 TO 8/31/2008,,9/1 TO 11/30/2008,,12/1/2008 TO 2/28/2009,,3/1 TO 5/31/2009,,6/1 TO 8/31/2009,,9/1 TO 11/30/2009,,12/1/2009 TO 2/28/2010,,3/1 TO 5/31/2010,,6/1 TO 8/31/2010,,9/1 TO 11/30/2010,,12/1/2010 TO 2/28/2011,,3/1 TO 5/31/2011,,6/1 TO 8/31/2011,,9/1 TO 11/30/2011,,12/1/2011 TO 2/28/2012,,3/1 TO 5/31/2012,,6/1 TO 8/31/2012,,9/1 TO 11/30/2012,,12/1/2012 TO 2/28/2013,,3/1 TO 5/31/2013,,6/1 TO 8/31/2013,,9/1 TO 11/30/2013,,12/1/2013 TO 2/28/2014,,3/1 TO 5/31/2014,,6/1 TO 8/31/2014,,9/1 TO 11/30/2014,,12/1/2014 TO 2/28/2015,,3/1 TO 5/31/2015,,6/1 TO 8/31/2015,,9/1 TO 11/30/2015,,12/1/2015 TO 2/28/2016,,3/1 TO 5/31/2016,,6/1 TO 8/31/2016,,9/1 TO 11/30/2016,,12/1/2016 TO 2/28/2017,,3/1 TO 5/31/2017,,6/1 TO 8/31/2017,,9/1 TO 11/30/2017,,12/1/2017 TO 2/28/2018
1 - UNIVERSITY & I-630,"E.COLI  (CHANGED FROM COLIFORM, FECAL 8/31/2005)",#/100ML,1 / 3 MO.,GRAB,<,1,,1,,318,,2520,,20,,1230,,1012,,2860,,4650,,260,,4800,,10200,,4800,,4500,,1620,,37000,,8750,,2000,,43000,,2500,,6560,,10000,>,5000000,,18150,,4000,,20000,,150000,,24000,,17500,,57500,,200,,9000,,1490,,30,,190,,50,,40,,50000,,600,,2050,,1500,,3000,,7900,,2000,,1100,,1000,,10300,,1300,,4800,,3200,,500,,5100,,700,,7400,,5000,,2600,,500,,1700,,8000,,1700,,3700,,70,,1000,<,1,,399,,200,,305,,2755,,200,,50,,2000,,350,,1,,245,,103,,100,,161,,250,,225,,1350,,495,,1800,,1250,,870,,135
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - UNIVERSITY & I-630,"BOD, CARBONACEOUS 5 DAY (NO LONGER REQUIRED 12-2013)",MG/L,1 / 3 MO.,COMP/GRAB,,12.000,,18.000,,0.800,,6.200,,2.300,,7.000,,20.600,,22.300,,20.100,,5.300,,13.600,,11.600,,9.600,,14.400,,40.200,,10.300,,27.500,,6.000,,2.100,,9.200,,11.200,,2.500,,4.400,,3.200,,7.800,,6.500,,9.300,,1.800,,7.400,,9.800,,3.600,,2.900,,1.300,,6.190,,8.120,,4.300,,8.400,,6.930,,4.980,,6.530,,10.020,,8.454,,4.660,,3.360,,5.820,,5.590,,3.800,,8.000,,3.500,,1.100,,1.500,,2.600,,3.800,,3.500,,5.000,,4.500,,6.500,,15.000,,23.000,,5.600,,3.900,,NO DISCHARGE,,4.000,,3.000,,5.000,<,2.000,,12.000,,6.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 - 33RD & WHITFIELD,"SELENIUM, TOTAL RECOVERABLE (NO LONGER REQUIRED 9/1/2005)",UG/L,1 / 3 MO.,COMP/GRAB,<,5.000,,5.000,<,2.000,,3.000,,3.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,,NO DISCHARGE,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,5.000,<,0.100,,4.320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 - 33RD & WHITFIELD,"BERYLLIUM, (BE) TOTAL RECOVERABLE (NO LONGER REQUIRED 9/1/2005)",UG/L,1 / 3 MO.,COMP/GRAB,<,0.500,,0.500,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,,13.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,,NO DISCHARGE,<,1.000,<,1.000,<,1.000,<,5.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,0.100,<,0.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 - 33RD & WHITFIELD,"NICKEL, TOTAL RECOVERABLE  (NO LONGER REQUIRED 9/1/2005)",UG/L,1 / 3 MO.,COMP/GRAB,,3.300,,7.600,<,0.000,<,1.000,,2.000,,11.300,,3.000,,2.000,,29.700,<,1.000,<,1.000,,4.100,<,1.000,,49.000,,NO DISCHARGE,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,5.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,0.005,<,5.000,<,5.000,<,0.100,,4.630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 - 33RD & WHITFIELD,"CHROMIUM, TOTAL RECOVERABLE  (NO LONGER REQUIRED 9/1/2005)",UG/L,1 / 3 MO.,COMP/GRAB,<,5.000,,5.000,<,1.000,<,5.000,<,1.000,<,1.000,,1.000,,61.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,,NO DISCHARGE,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,1.000,<,5.000,<,5.000,<,5.000,<,5.000,<,1.000,<,5.000,<,3.000,<,5.000,<,5.000,<,0.100,,6.390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 - 33RD & WHITFIELD,"MERCURY, TOTAL RECOVERABLE  (NO LONGER REQUIRED 9/1/2005)",UG/L,1 / 3 MO.,COMP/GRAB,<,0.200,,0.200,<,1.000,,200.000,<,1.000,<,1.000,<,1.000,,3.500,,3.000,<,1.000,<,0.200,<,0.200,<,0.200,<,0.200,,NO DISCHARGE,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 - 33RD & WHITFIELD,"CYANIDE, TOTAL  (NO LONGER REQUIRED 9/1/2005)",UG/L,1 / 3 MO.,COMP/GRAB,<,10.000,,10.000,<,9.000,,2.000,,1.000,,2.000,,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,,NO DISCHARGE,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,0.009,<,9.000,<,0.009,<,0.009,<,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 - 33RD & WHITFIELD,"BOD, 5 DAY",MG/L,1 / 3 MO.,COMP/GRAB,,4.000,,16.000,,6.600,,6.100,,3.900,,36.300,,21.700,,11.200,,17.200,,16.200,,9.200,,27.600,,22.500,,11.800,,NO DISCHARGE,,12.500,,14.300,,5.800,,4.800,,8.300,,17.900,,5.200,,2.200,,4.300,,3.400,,12.300,,14.700,,2.500,,10.700,,24.100,,2.800,,7.400,,10.200,,12.100,,5.040,,11.500,,11.200,,10.900,,8.850,,5.190,,8.574,,4.356,,8.940,,7.270,,6.100,,5.950,,4.800,,11.000,,4.000,,3.500,,3.500,,10.300,,5.400,,2.600,,4.800,,38.000,,5.200,,14.000,,29.000,,9.500,,5.100,,4.000,,3.000,,6.000,,9.000,,6.000,,4.000,,6.000,,6.000,,5.000,,12.000,,9.000,,14.000,,3.000,<,2.000,,13.000,,8.000,,10.000,<,2.000,,3.000,,7.000,,3.000,,6.000,,5.000,,3.000
2 - 33RD & WHITFIELD,PH,SU,1 / 3 MO.,GRAB,,7.410,,7.300,,7.000,,8.400,,7.500,,7.800,,6.430,,6.870,,6.700,,6.950,,7.280,,6.860,,7.000,,7.520,,NO DISCHARGE,,6.960,,6.810,,7.210,,6.710,,6.860,,7.210,,6.590,,7.000,,6.740,,7.140,,7.310,,7.100,,6.610,,6.740,,6.760,,6.530,,6.850,,6.590,,5.920,,6.570,,6.510,,6.900,,6.740,,6.280,,6.560,,6.720,,6.730,,6.530,,6.510,,6.530,,6.270,,6.530,,7.310,,6.810,,6.920,,6.860,,7.020,,7.200,,6.930,,7.160,,7.310,,6.850,,6.470,,6.240,,6.280,,6.700,,7.300,,6.500,,7.800,,7.300,,9.400,,7.500,,7.300,,8.500,,7.000,,6.800,,7.100,,6.800,,6.800,,7.800,,7.200,,6.400,,7.100,,7.200,,10.400,,7.400,,7.100,,6.700,,7.300,,6.600
2 - 33RD & WHITFIELD,"SOLIDS, TOTAL SUSPENDED",MG/L,1 / 3 MO.,COMP/GRAB,<,1.000,,30.000,,80.000,,45.000,,5.200,,484.000,,196.000,,45.000,,156.500,,306.000,,62.000,,30.000,,10.000,,87.000,,NO DISCHARGE,,13.200,,638.000,,7.000,,10.000,,3.500,,20.000,,236.000,,3.000,,34.000,,2.400,,27.000,,20.000,,11.000,,115.000,,285.000,,5.600,,45.000,,92.000,,4.000,,18.000,,10.000,,1.000,,48.000,,1.000,,66.000,,4.000,,3.200,,61.300,,9.000,,126.000,,258.000,,74.000,,6.000,,28.700,,12.400,,13.600,,66.000,,17.000,,32.000,,20.000,,96.000,,112.000,,45.000,,347.000,,23.000,,73.600,,29.000,,41.000,,28.000,,26.000,,20.000,,23.000,,42.000,,1.000,,35.000,,128.000,,23.000,,16.000,,18.000,,22.000,,17.000,,9.000,,32.000,,9.000,,17.000,,3.000,,4.000,,8.000,,4.000,,10.000
2 - 33RD & WHITFIELD,OIL & GREASE,MG/L,1 / 3 MO.,GRAB,,4.520,,2.330,,4.000,,3.500,,4.400,,5.600,,0.600,,1.500,,2.200,,4.700,,0.600,,2.100,,2.000,,3.800,,NO DISCHARGE,,1.100,,1.100,,0.900,,1.500,,2.100,,1.500,,1.500,,0.800,,1.200,,0.500,,2.600,,2.000,,2.200,,1.000,,2.300,,2.100,,1.100,,1.100,,0.700,,0.700,,0.400,,0.200,,0.600,,0.500,,0.400,,0.300,,0.400,,0.100,,0.500,,0.200,,0.500,,0.300,<,0.100,,1.500,,0.700,,0.400,,0.500,,3.900,,2.400,,0.900,,2.700,,0.400,,0.500,,1.300,,0.500,,0.700,<,1.400,,2.100,<,1.400,<,1.400,,2.600,<,1.400,<,1.400,<,1.400,<,1.400,<,1.400,<,1.400,<,1.400,<,1.400,<,1.400,,2.100,<,1.400,,2.400,,1.800,<,1.400,,3.800,,4.600,,7.100,,1.400,,2.100
2 - 33RD & WHITFIELD,"NITROGEN, TOTAL",MG/L,1 / 3 MO.,COMP/GRAB,,1.120,,5.060,,0.475,,0.927,,4.960,,4.504,,4.184,,1.718,,2.230,,2.711,,4.680,,4.130,,2.205,,8.250,,NO DISCHARGE,,1.740,,12.100,,3.290,,1.040,,2.800,<,0.050,<,0.050,<,0.050,<,0.050,<,0.050,<,0.050,<,0.540,<,0.425,<,0.440,<,0.010,<,1.260,<,0.050,,0.115,<,0.050,<,0.050,,0.850,,0.480,,1.250,,0.863,,0.945,,0.588,,0.773,,0.720,,2.320,,2.390,,1.300,,1.870,,1.465,,1.490,,1.010,,1.200,,2.470,,0.875,,1.100,,1.880,,8.930,,2.000,,0.740,,1.950,,2.470,,1.260,,0.650,,2.080,,0.880,,0.690,,1.540,,1.120,,1.960,,0.720,,0.340,,1.170,,0.970,,0.590,,0.650,,0.450,,0.620,,0.780,,0.710,,0.850,,1.080,,0.360,,0.540,,0.490,,0.200,,0.760
2 - 33RD & WHITFIELD,"NITROGEN, KJELDAHL  (NO LONGER REQUIRED 12-2013)",MG/L,1 / 3 MO.,COMP/GRAB,,0.880,,4.480,,0.230,,0.479,,0.097,,3.820,,2.620,,1.170,,1.830,,2.370,,4.450,,3.940,,2.190,,7.330,,NO DISCHARGE,,1.610,,11.300,,2.820,,0.740,,2.750,,4.120,,2.500,,1.420,,2.970,,2.630,,6.590,,12.500,,1.300,,1.580,,4.940,,0.230,,0.660,,1.400,,1.200,,2.220,<,0.050,<,0.050,,0.350,,0.253,<,1.960,,0.560,<,0.100,<,1.000,,2.070,<,1.000,,0.240,,2.380,<,0.500,,0.220,,0.510,,0.370,,0.473,,0.596,,0.040,,0.015,,0.342,,1.083,,0.174,<,0.050,,0.480,,0.040,,0.650,,1.840,,0.820,,0.640,,0.480,,0.810,,0.470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 - 33RD & WHITFIELD,"PHOSPHORUS, DISSOLVED",MG/L,1 / 3 MO.,COMP/GRAB,,0.100,,0.200,,0.430,,0.184,,4.400,,0.560,,0.248,,0.171,,0.337,,0.800,,0.360,,2.660,,0.410,,1.310,,NO DISCHARGE,,0.650,,1.100,,1.620,,0.710,,1.070,,1.240,,0.700,,1.420,,1.440,,0.390,,0.950,,0.390,,2.200,,0.290,,0.655,,0.227,,0.437,,0.073,,0.011,,0.209,,0.383,,0.311,,0.310,,0.103,,0.294,,0.068,,0.064,,0.890,<,0.100,,0.160,,0.300,<,1.000,,0.898,,0.800,,1.000,,1.400,,1.000,,0.930,,0.600,,0.400,,0.800,,0.200,,0.120,,0.400,,0.300,,0.920,,0.100,,0.100,,0.130,,0.170,,0.110,,0.200,,0.500,,0.030,,0.380,,0.230,,0.190,,0.150,,0.220,,0.190,,0.280,<,0.050,,0.050,<,0.050,,0.130,<,0.050,,0.050,,0.130,,0.090,,0.080
2 - 33RD & WHITFIELD,HARDNESS (CACO3) TOTAL,MG/L,1 / 3 MO.,COMP/GRAB,,44.000,,50.000,,0.000,,0.000,,60.500,,20.000,<,20.000,,28.000,,56.000,,44.000,,36.000,,32.000,,30.000,,36.000,,NO DISCHARGE,,40.000,,26.000,,30.000,,46.000,,40.000,,30.000,,42.000,,60.000,,16.000,,18.000,,10.000,,10.000,,38.000,,8.000,,82.000,,130.000,,96.000,,62.000,,12.000,,22.000,,20.000,,132.000,,21.000,,33.000,,6.640,,95.700,,4.080,,1.940,,0.930,,9.160,,30.000,,33.600,,3.640,,26.000,,34.000,,30.000,,26.000,,36.000,,24.000,,54.000,,40.000,,28.000,,36.000,,26.000,,25.000,,11.500,,20.000,,24.000,,20.000,,50.000,,44.000,,8.000,,40.000,,36.000,,80.000,,52.000,,28.000,,60.000,,44.000,,24.000,,20.000,,34.000,,2.000,,176.000,,14.000,,96.000,,36.000,,60.000,,88.000,,68.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 - 33RD & WHITFIELD,"SILVER, TOTAL RECOVERABLE",UG/L,1 / 3 MO.,COMP/GRAB,<,1.000,,1.000,<,1.000,<,1.000,,12.000,<,10.000,,2.000,,8.000,<,1.000,<,1.000,<,1.000,<,1.000,<,5.000,<,5.000,,NO DISCHARGE,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,0.100,<,0.100,<,0.100,<,0.100,<,0.001,<,0.001,<,0.001,,<.001,<,0.001,<,0.001,<,1.000,<,1.000,,1.000,<,1.000,<,0.200,<,0.100,,6.800,<,0.200,,0.150,<,0.100,<,0.200,<,0.100,<,0.100,,0.120,<,0.100,<,0.100,<,0.100,<,0.100,<,0.500,<,5.000,<,0.500,<,0.500,<,0.500,<,0.500,<,0.500,<,0.500,<,0.500,<,0.500,,6.000,<,0.500,,2.000,<,0.500,,1.000,<,0.500,,41.000,,15.200,,3.000,,8.000,,0.500,,0.500,,4.000,,0.500
2 - 33RD & WHITFIELD,"ZINC, TOTAL RECOVERABLE",UG/L,1 / 3 MO.,COMP/GRAB,,23.000,,17.000,,38.000,,56.000,,80.000,,185.000,,72.000,,70.000,,70.000,,280.000,,260.000,,475.000,,36.000,,23.000,,NO DISCHARGE,,43.000,,37.000,,21.000,,8.000,,5.000,,6.000,,5.000,,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,,6.910,,4.430,,55.100,,2.200,,0.100,<,0.001,,0.011,,0.013,,0.035,,0.026,,25.300,,23.000,,33.600,,15.100,,18.400,,20.300,,25.900,,19.500,,27.300,,22.300,,32.900,,54.600,,98.100,,45.100,,43.600,,117.000,,17.900,,31.000,,106.700,,13.000,,29.200,<,0.500,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,,19.000,<,1.000,,17.000,<,1.000,<,1.000,<,1.000,<,1.000,,32.000,<,1.000,,9.000,,6.000,,17.000,,50.700,,24.000,,15.300
2 - 33RD & WHITFIELD,"CADMIUM, TOTAL RECOVERABLE",UG/L,1 / 3 MO.,COMP/GRAB,,0.500,,0.500,<,1.000,<,1.000,<,2.000,<,1.000,,1.000,,4.000,,2.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,,NO DISCHARGE,<,1.000,<,1.000,<,1.000,<,5.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,0.100,,7.530,<,0.100,<,1.000,<,0.001,<,0.001,<,0.001,<,0.001,,0.014,<,0.001,<,1.000,,1.000,,1.000,,1.000,,0.200,<,0.100,,0.107,,0.200,<,0.300,,0.437,,0.630,,1.900,,4.700,,0.470,,11.500,<,0.100,<,0.100,,2.570,<,0.100,<,0.100,<,0.100,<,0.500,<,0.100,<,0.100,<,0.100,<,0.100,<,0.100,<,0.100,,7.000,<,0.100,<,1.000,<,0.100,<,0.100,,3.300,<,0.100,<,0.100,,2.000,,3.000,,4.000,,1.000,,0.300,,0.100
2 - 33RD & WHITFIELD,"LEAD, TOTAL RECOVERABLE",UG/L,1 / 3 MO.,COMP/GRAB,,1.060,,4.850,,7.000,,0.018,,8.000,,43.800,,3.000,,13.000,,2.400,<,1.000,<,1.000,,5.400,,5.600,,15.000,,NO DISCHARGE,,1.000,,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,5.000,<,1.000,<,0.100,,6.440,<,0.100,<,5.400,<,0.003,<,0.001,<,0.001,,0.001,<,0.001,,0.004,,2.300,,5.730,,8.000,,3.700,,2.530,,3.500,,1.900,,2.740,,3.350,,3.400,,16.700,,3.150,,34.800,<,0.100,,8.720,,14.700,,1.940,,21.200,,4.810,,2.600,,8.400,<,0.500,,195.000,<,0.500,,13.000,<,0.500,,10.000,,3.000,<,0.500,,4.000,,2.000,<,0.500,,3.700,<,0.500,,40.000,,13.950,,10.000,<,0.500,,8.000,,0.500,,1.000,,0.500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 - 33RD & WHITFIELD,"COPPER, TOTAL RECOVERABLE",UG/L,1 / 3 MO.,COMP/GRAB,,2.790,,9.350,,12.500,,21.000,<,2.000,,38.100,,29.000,,3.000,,9.000,,16.000,<,1.000,<,1.000,<,1.000,<,7.000,,NO DISCHARGE,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,0.100,,6.740,,1.800,<,2.900,<,0.021,,0.006,,0.003,,0.003,,0.023,,0.010,,3.900,,7.140,,12.900,,13.900,,11.200,,10.600,,19.900,,13.500,,11.400,,10.700,,8.500,,10.020,,64.500,,25.600,,16.300,,14.800,,5.300,,6.180,,47.680,,3.600,,126.000,<,0.500,,32.000,<,0.500,,1.000,<,0.500,,17.000,,2.000,,8.000,,3.000,<,0.500,,6.000,,1.000,<,0.500,<,0.500,,4.590,,1.000,,9.000,,4.000,,9.300,,3.000,,4.300
2 - 33RD & WHITFIELD,FLOW IN CONDUIT / THRU TREAT. PLANT,MGD,1 / 3 MO.,INST,,0.011,,0.794,,6.500,,5.170,,3.010,,0.540,,0.561,,1.790,,1.130,,4.100,,0.040,,0.086,,0.861,,0.214,,NO DISCHARGE,,0.413,,3.440,,2.580,,3.440,,0.323,,0.215,,8.075,,1.190,,3.460,,0.807,,0.807,,0.323,,0.807,,0.942,,2.018,,1.574,,1.938,,2.907,,0.365,,1.043,,2.584,,0.538,,1.211,,0.001,,0.538,,0.054,,0.107,,1.615,,1.620,,3.450,,2.584,,0.808,,0.336,,7.791,,6.454,,0.969,,2.151,,1.291,,2.584,,0.969,,0.162,,11.678,,2.907,,19.380,,1.131,,3.012,,0.018008,,0.009878,,0.003456,,0.007848,,0.826400,,0.760900,,0.129600,,0.020160,,0.003456,,0.086400,,0.021600,,0.002880,,0.244800,,0.500000,,0.007200,,0.010800,,0.004795,,0.551000,,0.008640,,0.007848,,1.632000,,0.199500,,0.005760,,0.004320
2 - 33RD & WHITFIELD,"SOLIDS, TOTAL DISSOLVED",MG/L,1 / 3 MO.,COMP/GRAB,,96.000,,88.000,,44.000,,44.500,,41.000,,71.000,,84.500,,36.000,,66.000,,83.000,,50.000,,78.500,,23.500,,30.500,,NO DISCHARGE,,116.000,,71.200,,71.500,,65.500,,56.000,,51.000,,38.000,,125.000,,96.000,,49.500,,34.500,,73.000,,58.500,,44.000,,98.000,,43.000,,44.500,,50.000,,40.000,,62.000,,64.000,,162.000,,82.000,,76.000,,22.000,,81.000,,39.000,,89.000,,96.000,,56.000,,47.000,,149.000,,74.000,,102.000,,61.000,,77.000,,95.000,,87.000,,101.000,,104.000,,176.000,,149.000,,97.000,,524.000,,100.000,,210.000,,82.000,,41.000,,98.000,,198.000,,94.000,,99.000,,28.000,,102.000,<,10.000,,44.000,,76.000,,62.000,,80.000,,70.000,,88.000,,68.000,,118.000,,70.000,,56.000,,84.000,,108.000,,12.000,,32.000,,28.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 - 33RD & WHITFIELD,"STREPTOCOCCI, FECAL MATERIAL",#/100ML,1 / 3 MO.,GRAB,,324,,120,,15300,<,20,,80,,9840,,48400,,19750,,4400,,15050,,4330,,7900,,7100,,3700,,NO DISCHARGE,,24000,,445000,,22000,,680000,,33000,,17500,,20000,,380000,,22750,,2000,,160000,,1270000,,40000,,82000,,2400,,900,,19000,,120000,,1360,,810,,80,,18000,,17000,,100,,1300,,200,,300,,3800,,3800,,6100,,1900,,1900,,2000,,5900,,1800,,3100,,6000,,2200,,8800,,11100,,8300,,6900,,10300,,20000,,13600,,6700,,336,,1580,<,1,,522,,300,,1267,,1730,,5,,65,,3600,,75,,1210,,50,,148,,98,,269,,396,,60,,900,,195,,2250,,800,,260,,450
2 - 33RD & WHITFIELD,"E.COLI  (CHANGED FROM COLIFORM, FECAL 8/31/2005)",#/100ML,1 / 3 MO.,GRAB,,437,,1,,11300,,4100,<,20,,9200,,18900,,13700,,8200,,8400,,3100,,8670,,3600,,2900,,NO DISCHARGE,,30000,,80000,,4000,,1000000,,11000,,14300,,120000,,10000,,40000,,6000,,60000,,360000,,44000,,16200,,650,,600,,25000,,40000,,960,,160,,160,,110,,27000,,1700,,3100,,<100,,1750,,4900,,4900,,3700,,1800,,3600,,2100,,1800,,6600,,3900,,8100,,1000,,10900,,11700,,2400,,5100,,11900,,16000,,6100,,4200,,316,,1545,<,1,,688,,100,,880,,1610,,10,,25,,2400,,55,,1130,,75,,96,,86,,316,,488,,100,,800,,205,,1350,,820,,290,,2419
